word,kind,reading,level
accept,動詞,受諾する、受け入れる,basic
access,動詞,アクセスする、利用する、入手する∕アクセス,basic
account,名詞,アカウント、口座,basic
algorithm,名詞,アルゴリズム,basic
allow,動詞,可能にする、許可する,basic
alternative,形容詞,代替の,basic
application,名詞,アプリケーション,basic
apply,動詞,適用する,basic
argument,名詞,引数、実引数,basic
array,名詞,配列,basic
attribute,名詞,属性,basic
audio,名詞,オーディオ、音声,basic
author,名詞,作成者,basic
available,形容詞,利用可能な、入手可能な,basic
avoid,動詞,回避する,basic
backup,名詞,バックアップ,basic
based,形容詞,ベースの、〜に基づく,basic
bit,名詞,ビット,basic
blank,形容詞,空白の,basic
block,名詞,ブロック∕ブロックする,basic
boolean,形容詞,ブールの,basic
branch,名詞,ブランチ、分岐,basic
browser,名詞,ブラウザー,basic
bug,名詞,バグ,basic
byte,名詞,バイト,basic
cache,名詞,キャッシュ,basic
cancel,動詞,キャンセルする、取り消す,basic
capacity,名詞,容量,basic
case,名詞,場合、ケース、大文字小文字の区別,basic
character,名詞,文字,basic
checkbox,名詞,チェックボックス,basic
choice,名詞,選択,basic
clear,動詞,消去する,basic
click,動詞,クリックする,basic
client,名詞,クライアント,basic
clipboard,名詞,クリップボード,basic
cloud,名詞,クラウド,basic
cluster,名詞,クラスター,basic
code,名詞,コード,basic
collection,名詞,コレクション、収集,basic
column,名詞,列、カラム,basic
command,名詞,コマンド、命令,basic
comment,名詞,コメント∕コメントする,basic
commit,動詞,コミットする、(処理などを)確定する,basic
communication,名詞,通信、コミュニケーション,basic
component,名詞,コンポーネント、部品,basic
condition,名詞,条件,basic
configuration,名詞,構成,basic
connect,動詞,接続する,basic
connection,名詞,接続,basic
console,名詞,コンソール,basic
constant,名詞,定数∕一定定値∕デフォルトで〜になる,basic
define,動詞,定義する,basic
delete,動詞,削除する,basic
destroy,動詞,破棄する,basic
determine,動詞,判別する、決定する,basic
developer,名詞,開発者,basic
development,名詞,開発,basic
device,名詞,機器、デバイス,basic
dialog,名詞,ダイアログ,basic
directory,名詞,ディレクトリー,basic
disk,名詞,ディスク,basic
document,名詞,ドキュメント、文書∕(文書で)記録する、詳しく記載する,basic
documentation,名詞,ドキュメント、資料,basic
domain,名詞,ドメイン,basic
download,動詞,ダウンロードする,basic
driver,名詞,ドライバー,basic
drop-down,形容詞,ドロップダウン,basic
feature,名詞,機能、特徴,basic
field,名詞,フィールド,basic
file,名詞,ファイル,basic
filter,名詞,フィルター∕絞り込む,basic
fix,動詞,修正する、解決する,basic
flag,名詞,フラグ,basic
folder,名詞,フォルダー,basic
following,形容詞,次に述べる∕次の項目,basic
font,名詞,フォント,basic
force,動詞,強制する,basic
format,名詞,フォーマット、書式、形式∕初期化する、書式設定する,basic
function,名詞,機能、関数,basic
general,形容詞,全般の、一般の,basic
generate,動詞,生成する,basic
global,形容詞,グローバルな、大域の,basic
graphic,名詞,グラフィック、画像,basic
guide,名詞,ガイド,basic
hardware,名詞,ハードウェア,basic
height,名詞,高さ,basic
hide,動詞,隠す、非表示にする,basic
highlight,名詞,ハイライト∕強調表示する,basic
host,名詞,ホスト,basic
icon,名詞,アイコン,basic
ignore,動詞,無視する,basic
image,名詞,画像、イメージ,basic
import,名詞,インポート∕インポートする,basic
including,前置詞,〜を含めて,basic
index,名詞,インデックス、索引、添字,basic
indicate,動詞,示す,basic
input,名詞,入力∕入力する,basic
install,動詞,インストールする,basic
installer,名詞,インストーラー,basic
instance,名詞,インスタンス、実例,basic
instruction,名詞,指示の,basic
constructor,名詞,コンストラクター,basic
contain,動詞,含む,basic
container,名詞,コンテナー,basic
content,名詞,内容、コンテンツ,basic
context,名詞,コンテキスト、文脈,basic
continue,動詞,続行する,basic
control,名詞,制御、コントロール∕制御する,basic
cookie,名詞,クッキー,basic
core,名詞,コア∕最重要の,basic
correctly,副詞,正しく、正常に,basic
count,動詞,数える∕回数、数,basic
current,形容詞,現在の,basic
cursor,名詞,カーソル,basic
custom,形容詞,カスタムの、ユーザー設定の,basic
customize,動詞,カスタマイズする,basic
damage,名詞,損害、ダメージ,basic
dashboard,名詞,ダッシュボード,basic
data,名詞,データ,basic
database,名詞,データベース,basic
debug,動詞,デバッグする∕デバッグ,basic
default,名詞,デフォルト、既,basic
edit,動詞,編集する,basic
editor,名詞,エディター,basic
element,名詞,要素,basic
empty,形容詞,空の,basic
enter,動詞,入力する,basic
entry,名詞,エントリー、入力,basic
environment,名詞,環境,basic
equal,形容詞,等しい∕〜に等しい,basic
error,名詞,エラー,basic
except,前置詞,〜を除く,basic
exception,名詞,例外,basic
exist,動詞,存在する,basic
exit,動詞,終了する,basic
expand,動詞,拡大する、展開する,basic
expected,形容詞,期待された,basic
export,名詞,エクスポート∕エクスポートする,basic
express,動詞,表現する∕明示された,basic
expression,名詞,表現、式,basic
fail,動詞,失敗する,basic
feature,名詞,機能、特徴,basic
field,名詞,フィールド,basic
file,名詞,ファイル,basic
filter,動詞,フィルター／絞り込む,basic
fix,動詞,修正する、解決する,basic
flag,名詞,フラグ,basic
folder,名詞,フォルダー,basic
following,形容詞,次に述べる／次の項目,basic
font,名詞,フォント,basic
force,動詞,強制する,basic
format,名詞,フォーマット、書式、形式／初期化する、書式設定する,basic
